zoekwoord,relevant (j/n),notitie,zoekvolume,cluster,oordeel van de regel
accessoires,n,te algemeen,50000,onderdelen,algemeen
gereedschap,n,"gereedschap zelf, niet de koffer",50000,onderdelen,algemeen
hoeken,,,50000,onderdelen,algemeen
interieur,n,woninginrichting,50000,schuim,algemeen
koffers,n,reiskoffers; Samsonite en Bol staan op pagina 1,50000,algemeen,case-specifiek
19 inch rack,,,5000,racks,case-specifiek
19 racks,,,5000,racks,case-specifiek
aluminium koffer,,twijfel: reiskoffer én transportkoffer — SERP checken,5000,aluminium,case-specifiek
bouwpakket,,,5000,onderdelen,algemeen
flightcases,,,5000,algemeen,case-specifiek
handgrepen,,,5000,onderdelen,algemeen
hoeklijn,,,5000,onderdelen,algemeen
industriële meubels,,,5000,meubels,algemeen
kunststof bak,n,"opbergbak, geen koffer",5000,kunststof,algemeen
lichtgewicht koffers,n,reiskoffers,5000,kunststof,case-specifiek
onderdelen,,,5000,onderdelen,algemeen
opbergkist,,twijfel: opbergbox voor thuis — SERP checken,5000,transportkisten,case-specifiek
pallets,n,pallets zelf,5000,industrie,algemeen
peli case,,,5000,kunststof,case-specifiek
plastic bakken,n,opbergbakken,5000,kunststof,algemeen
popnagel,,,5000,onderdelen,algemeen
scharnieren,,,5000,onderdelen,algemeen
schotel,,,5000,onderdelen,algemeen
schotels,,,5000,onderdelen,algemeen
schuim,,,5000,schuim,algemeen
server rack,n,"serverkasten voor datacenters, geen transportcase",5000,racks,case-specifiek
spuitlijm,,,5000,onderdelen,algemeen
wielen,,,5000,wielen,algemeen
19 inch flightcase,,,500,racks,case-specifiek
aluminium kist,,,500,aluminium,case-specifiek
bevestigingmaterialen,,,500,onderdelen,algemeen
blindklinknagel,,,500,onderdelen,algemeen
camerakoffer,,,500,camera,case-specifiek
carrosseriering m6,,,500,onderdelen,algemeen
flightcase koffer,,,500,algemeen,case-specifiek
flightcase met lades,,,500,toolcases,case-specifiek
flightcase onderdelen,,,500,onderdelen,case-specifiek
flightcase op maat,,,500,opmaat,case-specifiek
flightcase op wielen,,,500,wielen,case-specifiek
flightcase wielen,,,500,onderdelen,case-specifiek
foam inlay,,,500,schuim,algemeen
industriële verpakking,,,500,industrie,case-specifiek
kartonnen verpakkingen,,,500,industrie,case-specifiek
keyboard case,,,500,instrumenten,case-specifiek
kist op wielen,,,500,wielen,case-specifiek
kistsluiting,,,500,onderdelen,case-specifiek
klepsluiting,,,500,onderdelen,algemeen
koffersluiting,,,500,onderdelen,case-specifiek
kooimoer,,,500,zonder,algemeen
kunststof koffer,,,500,kunststof,case-specifiek
leren handgreep,,,500,onderdelen,algemeen
maatwerk interieurs,,,500,schuim,algemeen
motorcase,,,500,motoren,case-specifiek
plukschuim,,,500,schuim,algemeen
rubber voet,,,500,zonder,algemeen
